Date,AAPL,ABBV,AMAT,AMD,AMGN,AMZN,ARM,ASML,AVGO,BAC,CAT,COST,CSCO,CVX,GOOG,GOOGL,INTC,JNJ,JPM,KLAC,KO,LIN,LLY,LRCX,META,MRK,MRVL,MSFT,MU,NFLX,NVDA,ORCL,PANW,PLTR,SNDK,SPCX,TSLA,TXN,V,WMT,XOM
2025-09-19,244.59646606445312,215.7760009765625,189.05433654785156,157.38999938964844,277.7063293457031,231.47999572753906,142.91000366210938,926.0504760742188,342.43096923828125,51.159488677978516,462.37786865234375,945.642578125,66.8262710571289,150.28794860839844,254.57542419433594,254.0592803955078,29.579999923706055,172.3069305419922,308.87103271484375,103.9203872680664,64.70977020263672,472.5989074707031,747.2769775390625,126.22142791748047,775.837158203125,79.18482208251953,74.10213470458984,513.703369140625,162.46922302246094,122.6969985961914,176.2477264404297,305.181640625,208.19000244140625,182.38999938964844,102.20999908447266,,426.07000732421875,174.84210205078125,338.89959716796875,101.47561645507812,109.64228057861328
2025-09-22,255.1374969482422,215.8924102783203,199.41702270507812,159.7899932861328,278.2804260253906,227.6300048828125,144.47999572753906,951.5325927734375,336.9019775390625,50.83637237548828,467.8882751464844,937.7883911132812,66.37560272216797,150.13401794433594,252.22157287597656,251.87496948242188,28.760000228881836,170.37057495117188,306.5749816894531,106.55020904541016,64.4954605102539,471.36566162109375,750.2184448242188,131.4723663330078,763.175048828125,78.10648345947266,75.36942291259766,510.25189208984375,164.356201171875,122.73699951171875,183.17115783691406,324.4519958496094,208.17999267578125,179.3300018310547,102.91999816894531,,434.2099914550781,175.0857696533203,341.6278076171875,101.9615249633789,108.86480712890625
2025-09-23,253.49359130859375,215.91180419921875,199.76507568359375,160.89999389648438,279.0685729980469,220.7100067138672,140.99000549316406,957.2052001953125,337.0511169433594,50.62096405029297,467.0557556152344,938.1264038085938,66.16986083984375,151.45205688476562,251.68295288085938,251.00721740722656,29.34000015258789,172.68833923339844,306.8693542480469,106.54524230957031,64.98251342773438,473.5164794921875,742.2984008789062,131.20384216308594,753.4404296875,77.67903900146484,74.46135711669922,505.0744323730469,166.14334106445312,121.84700012207031,178.00352478027344,310.2933654785156,203.25,182.5500030517578,106.4000015258789,,425.8500061035156,177.4447021484375,336.0127258300781,101.66402435302734,110.74044036865234
2025-09-24,251.38140869140625,213.3706512451172,200.3319549560547,160.8800048828125,271.6834411621094,220.2100067138672,144.3000030517578,940.7437744140625,337.4190673828125,50.62096405029297,465.598876953125,939.7868041992188,65.9543228149414,153.1453399658203,247.18472290039062,246.4989471435547,31.219999313354492,172.79591369628906,307.5365905761719,106.29358673095703,64.72924041748047,467.7842102050781,737.2005615234375,127.86572265625,758.686767578125,77.3973159790039,79.91973114013672,505.9869079589844,161.4508819580078,120.3949966430664,176.54701232910156,304.98388671875,200.6999969482422,179.55999755859375,99.83000183105469,,442.7900085449219,179.7841339111328,335.99285888671875,101.87227630615234,111.33326721191406
2025-09-25,255.9246063232422,211.96426391601562,198.50209045410156,161.27000427246094,263.86041259765625,218.14999389648438,140.64999389648438,943.3366088867188,334.2269592285156,50.76782989501953,459.5830078125,937.838134765625,66.47357177734375,154.626953125,245.92799377441406,245.1524200439453,33.9900016784668,173.81297302246094,307.5660400390625,105.34172821044922,64.27142333984375,467.43890380859375,710.1114501953125,127.6763916015625,746.96728515625,75.38636016845703,83.63182067871094,502.8923645019531,156.57867431640625,120.8239974975586,177.26531982421875,288.0469055175781,202.2100067138672,179.1199951171875,94.29000091552734,,423.3900146484375,177.4447021484375,332.2726135253906,102.18961334228516,112.33424377441406
2025-09-26,254.51980590820312,213.9719696044922,202.79830932617188,159.4600067138672,265.6119079589844,219.77999877929688,139.6199951171875,945.2937622070312,332.66571044921875,51.12031936645508,461.6048583984375,910.6369018554688,65.85635375976562,154.08819580078125,246.53639221191406,245.90049743652344,35.5,175.74935913085938,310.1270446777344,105.85794067382812,63.969444274902344,468.06048583984375,719.9990234375,127.87568664550781,741.8206787109375,76.31897735595703,82.99317932128906,507.28619384765625,157.0179901123047,121.06099700927734,177.7641143798828,280.2656555175781,202.3699951171875,177.57000732421875,97.12000274658203,,440.3999938964844,179.891357421875,334.69329833984375,102.29869079589844,113.91834259033203
2025-09-29,253.49359130859375,216.44525146484375,203.82266235351562,161.36000061035156,266.57513427734375,222.1699981689453,139.8000030517578,956.3110961914062,326.0726318359375,51.32593536376953,467.40264892578125,911.5514526367188,66.34619903564453,150.18211364746094,243.72373962402344,243.4169464111328,34.47999954223633,177.61727905273438,309.7640075683594,105.84203338623047,64.32986450195312,470.11260986328125,721.956787109375,130.6259002685547,741.4715576171875,76.33840942382812,82.21482849121094,510.4005432128906,163.63734436035156,120.64099884033203,181.41537475585938,279.5735168457031,203.9600067138672,178.86000061035156,113.5,,443.2099914550781,178.60464477539062,337.4611511230469,102.2193603515625,111.00284576416016
2025-09-30,253.69287109375,224.57308959960938,203.6138153076172,161.7899932861328,274.5830383300781,219.57000732421875,141.49000549316406,961.75537109375,328.0714416503906,50.51326370239258,472.8932189941406,920.2606811523438,67.0320053100586,149.40281677246094,242.91586303710938,242.46942138671875,33.54999923706055,181.33352661132812,309.50885009765625,107.28125,64.60260772705078,468.6426086425781,758.218017578125,133.4259490966797,732.4749755859375,81.5357894897461,83.89126586914062,513.7232666015625,167.0518798828125,119.89199829101562,186.13406372070312,278.0706481933594,203.6199951171875,182.4199981689453,112.19999694824219,,444.7200012207031,179.09202575683594,338.67144775390625,102.19953155517578,109.57425689697266
2025-10-01,254.5098419189453,237.02674865722656,216.54229736328125,164.00999450683594,290.44305419921875,220.6300048828125,150.3800048828125,996.7051391601562,331.53204345703125,49.62225341796875,476.5304870605469,912.018798828125,67.35530853271484,148.71974182128906,244.9006805419922,244.26473999023438,35.939998626708984,181.94961547851562,304.8774719238281,112.28128814697266,65.05070495605469,460.56219482421875,820.2467651367188,142.28448486328125,715.4791870117188,87.55892944335938,83.7116470336914,515.4689331054688,181.85809326171875,117.08999633789062,186.79248046875,285.7530822753906,206.8000030517578,184.9499969482422,121.12000274658203,,459.4599914550781,175.8363494873047,345.07025146484375,101.10870361328125,108.83564758300781
2025-10-02,256.18365478515625,229.44204711914062,222.360107421875,169.72999572753906,289.3727722167969,222.41000366210938,152.14500427246094,1023.4290771484375,336.2953186035156,49.426429748535156,486.1934814453125,911.4520874023438,66.92423248291016,147.55560302734375,245.78836059570312,245.0526885986328,37.29999923706055,181.8811798095703,301.7767639160156,113.3147201538086,64.38831329345703,463.1964416503906,814.711669921875,146.46961975097656,725.1640014648438,86.95661926269531,86.01673126220703,511.53131103515625,183.45555114746094,116.25299835205078,188.43853759765625,285.5256652832031,209.3000030517578,187.0500030517578,124.13999938964844,,436.0,177.7176513671875,343.2051696777344,100.85087585449219,108.15536499023438
